"model","effort","reps","tp","fn","tn","fp","recall","specificity","bacc"
"gpt-5-mini-2025-08-07","low",1,13,7,76,4,0.65,0.95,0.8
"gpt-5-mini-2025-08-07","low",10,13,7,76,4,0.65,0.95,0.8
"gpt-5-mini-2025-08-07","medium",1,14,6,75,5,0.7,0.938,0.819
"gpt-5-mini-2025-08-07","medium",10,13,7,75,5,0.65,0.938,0.794
"gpt-5-mini-2025-08-07","high",1,15,5,75,5,0.75,0.938,0.844
"gpt-5-mini-2025-08-07","high",10,13,7,75,5,0.65,0.938,0.794
"gpt-5-nano-2025-08-07","low",1,12,8,76,4,0.6,0.95,0.775
"gpt-5-nano-2025-08-07","low",10,12,8,76,4,0.6,0.95,0.775
"gpt-5-nano-2025-08-07","medium",1,12,8,78,2,0.6,0.975,0.787
"gpt-5-nano-2025-08-07","medium",10,13,7,76,4,0.65,0.95,0.8
"gpt-5-nano-2025-08-07","high",1,12,8,76,4,0.6,0.95,0.775
"gpt-5-nano-2025-08-07","high",10,13,7,76,4,0.65,0.95,0.8
"gpt-5-2025-08-07","low",1,12,8,77,3,0.6,0.963,0.781
"gpt-5-2025-08-07","medium",1,13,7,76,4,0.65,0.95,0.8
"gpt-5-2025-08-07","high",1,13,7,76,4,0.65,0.95,0.8
